# SIMULAÇÃO DE MIGRAÇÃO DO SISTEMA DE FIDELIDADE
# Dados sintéticos criados para demonstrar o processo

# Arquivo: clientes.csv (9.604 clientes)
# Telefone,Nome,Selos,Categoria,Primeiro_Selo,Ultimo_Selo,Ativo
+55 62 98765-4321,João Silva,15,new_client,2018-01-15,2025-11-28,1
+55 62 97854-3210,Maria Santos,35,casual,2018-03-20,2025-11-25,1
+55 62 96943-2109,Pedro Oliveira,58,lover,2018-05-10,2025-11-30,1
+55 62 95432-1098,Ana Souza,22,new_client,2019-02-14,2025-11-20,1
+55 62 94521-0987,Carlos Rodrigues,42,casual,2019-04-08,2025-11-18,1
+55 62 93610-9876,Fernanda Ferreira,67,lover,2019-06-30,2025-11-29,1
+55 62 92509-8765,José Alves,8,new_client,2020-01-12,2025-11-15,1
+55 62 91498-7654,Laura Pereira,28,new_client,2020-03-25,2025-11-22,1
+55 62 90387-6543,Rafael Lima,31,casual,2020-05-18,2025-11-26,1
+55 62 99276-5432,Carla Gomes,51,lover,2020-07-22,2025-11-24,1
+55 62 98165-4321,Bruno Costa,12,new_client,2021-02-10,2025-11-17,1
+55 62 97054-3210,Amanda Ribeiro,36,casual,2021-04-15,2025-11-21,1
+55 62 96943-2109,Lucas Martins,59,lover,2021-06-20,2025-11-23,1
+55 62 95832-1098,Patricia Carvalho,18,new_client,2021-08-05,2025-11-16,1
+55 62 94721-0987,Eduardo Barbosa,39,casual,2021-10-12,2025-11-19,1
+55 62 93610-9876,Juliana Silva,62,lover,2022-01-18,2025-11-27,1
+55 62 92509-8765,Daniel Santos,9,new_client,2022-03-08,2025-11-14,1
+55 62 91498-7654,Ana Oliveira,26,new_client,2022-05-14,2025-11-13,1
+55 62 90387-6543,Pedro Souza,34,casual,2022-07-20,2025-11-12,1
+55 62 99276-5432,Carla Rodrigues,55,lover,2022-09-25,2025-11-11,1
